seconds,lateral_velocity,u,v
299,0.27571487,-0.2704355,0.053696718
599,0.26597273,-0.2623513,0.04374102
899,0.24605508,-0.24333617,0.03647746
1199,0.23032123,-0.2289328,0.025251621
1499,0.24854912,-0.24609056,0.034872588
1799,0.24112102,-0.23894122,0.032348678
2099,0.23508199,-0.23337829,0.028250912
2399,0.22659609,-0.22563186,0.020881848
2699,0.21970327,-0.21896784,0.01796143
2999,0.20933078,-0.20909595,0.009912469
3299,0.20235385,-0.20234391,0.0020048772
3599,0.18684626,-0.1868451,-0.0006571279
3899,0.17504258,-0.17490396,-0.0069649764
4199,0.16939963,-0.16914548,-0.009275928
4499,0.16124415,-0.16058925,-0.014518025
4799,0.15599921,-0.1552972,-0.014782851
5099,0.14530717,-0.14400981,-0.019373978
5399,0.13218088,-0.12859964,-0.030560069
5699,0.055884883,-0.027638776,-0.048571784
5999,0.13243428,-0.13036871,-0.023298873
6299,0.1240812,-0.12122795,-0.026456153
6599,0.11375857,-0.10816084,-0.035245534
6899,0.103129156,-0.095311865,-0.039386157
7199,0.09287688,-0.0848467,-0.037777685
7499,0.08274185,-0.068005666,-0.047132187
7799,0.07397495,-0.059452638,-0.04401906
8099,0.06221016,-0.036629222,-0.05028324
8399,0.058676045,-0.023252333,-0.053872142
8699,0.055147726,-0.0027917826,-0.055077016
8999,0.06427622,0.02025241,-0.061002236
9299,0.06874071,0.035790026,-0.058688663
9599,0.08738249,0.053507812,-0.0690841
9899,0.100658074,0.07031905,-0.07202277
10199,0.11732478,0.09243778,-0.072252065
10499,0.14048271,0.11080898,-0.08635253
10799,0.16901824,0.14453986,-0.08760934
11099,0.17245108,0.14462776,-0.093926504
11399,0.18259391,0.15965791,-0.0885996
11699,0.20213674,0.18215193,-0.08763526
11999,0.2191789,0.19986019,-0.08997387
12299,0.22094156,0.19721405,-0.0996082
12599,0.23556712,0.21559112,-0.09493335
12899,0.24584733,0.22510794,-0.0988298
13199,0.26932544,0.24863273,-0.1035276
13499,0.32887787,0.3218248,-0.06774552
13799,0.3258982,0.31403562,-0.08712778
14099,0.31186923,0.29783478,-0.09250332
14399,0.32881203,0.31918448,-0.07898494
14699,0.33217582,0.31608742,-0.10212494
14999,0.30070075,0.28575465,-0.09362276
