,rmse,skill
299,0.20752393744551453,0.4405698604273458
598,0.2555121293264077,0.21481497806162986
899,0.14169894752555467,0.5814265673064506
1198,0.15091671498424789,0.6144546409705998
1499,0.15076060002520095,0.6962263424558109
1798,0.16110078539792827,0.6688509809299747
2099,4.0844320325943535,-0.10776723277821909
2398,2.4812137871780497,-0.15793802480750685
2699,1.3068211477176443,-0.08693956451245821
2999,0.11507370402440158,0.8164952901621387
3298,0.5581041354234083,0.36333846520121815
3599,1.3196770316066573,0.033670464488734675
3898,0.12087615929674615,0.8182021828299836
4199,2.9023660933410897,-0.11436391163218351
4498,0.2060663018507302,0.5267988319534487
4799,0.09076907883096647,0.8922246200604477
5098,0.057984591966590844,0.9353656378468074
5399,0.07979312341945738,0.8777413119018226
5699,0.07196968083563304,0.906527021354259
5998,0.38485686379542455,0.1891226404951838
6299,0.13402705336404078,0.890972596683148
6598,0.08211495613069539,0.9067976295519327
6899,0.07455053594562058,0.9288599720053742
7198,0.058443559213715274,0.9398091831478725
7499,0.08085119941604559,0.927130233596472
7798,0.07131500978823255,0.9303007619734204
8099,0.0867864558408456,0.9246507236254142
8399,0.09911209579293287,0.9026328449316636
8698,0.06786872740382104,0.9399806523201051
8999,0.051171224012920895,0.9595579940420434
9298,0.04757996206634645,0.9708949144838306
9599,0.0593151103357878,0.9598600663159108
9898,0.16929331145293322,0.8030822727013511
10199,0.2677585917595995,0.278781710784209
10498,0.3949099626818057,-0.7580299573695577
10799,0.4995151413551064,-2.4721202471613553
11099,,
11398,,
11699,,
11998,,
12299,,
12598,,
12899,,
13198,,
13499,,
13799,,
14098,,
14399,,
14698,,
14999,,
15298,,
15599,,
15898,,
16199,,
16499,,
16798,,
17099,,
17398,,
17699,,
17998,,
18299,,
18598,,
18899,,
19199,,
19498,,
19799,,
20098,,
20399,1.7784451308809845,-4.647335426357448
20698,0.9847998631564031,-8.611040056217128
20999,0.9864385943896039,-6.3329500327928665
21298,0.6484883817039425,-2.7884374369097227
21599,0.45725670556882103,-0.7956261610685071
21899,0.46958050671016316,-0.6722724638832263
