,rmse,skill
299,0.8404205610659643,-2.7866053165004
598,0.9330876701203247,-3.3342986175260245
899,0.8947604281913102,-3.604431244574446
1198,0.964166297799911,-4.213246787954107
1499,1.0025757868861696,-3.7276422585410387
1798,1.0913073731436629,-4.333108313862546
2099,5.203229125245198,-0.15312011291033123
2398,3.6499606321182845,-0.2811085531234294
2699,2.503657805121852,-0.33985838779697675
2999,1.36631778358048,-6.7182868594605045
3298,1.9146762622936662,-1.9608790299630412
3599,2.6871304508837017,-0.8012066528829547
3898,1.5335646820769617,-8.540490800138365
4199,4.25577518965707,-0.4810757317241683
4498,1.712342175854145,-9.12316935853191
4799,1.6586772383795105,-9.63985570223118
5098,,
5399,,
5699,,
5998,2.065253794709923,-7.021594009376473
6299,1.8588569805654034,-8.822050146420315
6598,,
6899,,
7198,,
7499,,
7798,1.906655409430257,-9.229869365160793
8099,1.9190655727820025,-8.191965479835803
8399,1.840769803688307,-9.48212209694683
8698,1.8506996232337498,-9.967063933189241
8999,,
9298,1.7540250900581633,-9.658205569075491
9599,1.5290815236003932,-6.626765115767954
9898,1.3305621008102966,-3.7335992861370073
10199,1.1604835983404438,-2.813601591595687
10498,1.0757838339480283,-2.103137659114358
10799,0.9143871913903366,-1.5881325401705664
11099,0.9371500180931146,-1.5457343231361458
11398,0.913318696572547,-1.4350155405555425
11699,1.0482647523175794,-1.5351670615980746
11998,1.0334814713102642,-1.4461035503736706
12299,1.1724053188520733,-1.5013403304039041
12598,1.200386618208559,-1.4051969610763546
12899,1.4001788568490767,-1.4888438345212123
13198,1.331865650015246,-1.4008202826629517
13499,2.15804961424553,-1.2607440453625305
13799,1.6927554629654966,-1.270806070686438
14098,1.4931916887110168,-1.2878236068686504
14399,1.794710915780453,-1.3223905959122586
14698,1.7894005348654263,-1.2829122292003197
14999,2.0417327454385505,-1.1837822125287891
15298,2.5213214401483173,-1.1733205701110148
15599,2.437881922175116,-1.2346268780409146
15898,2.534298749324692,-1.27007554270538
16199,2.2698109335395937,-1.2208207258213628
16499,2.499452995438578,-1.1463130992923296
16798,2.4773151843094654,-1.1326603885272601
17099,2.5105685970747578,-1.2637724805360775
17398,2.3915320941562683,-1.1465166387394383
17699,2.259949694674412,-1.1056196087397159
17998,2.257028870559443,-1.1605394505086042
18299,1.912597668367126,-1.1588225711957514
18598,1.9076198762042884,-1.2767243373567236
18899,1.9913033345193918,-1.272964434688082
19199,1.700153207869503,-1.2143756699644621
19498,1.5640977712064943,-1.2603718760922433
19799,1.5078520185585973,-1.3958685547012277
20098,1.420184665667388,-1.3884103752521968
20399,1.9191953197930818,-0.9217223967764328
20698,1.2530993352251625,-1.3950510744620428
20999,1.3844413824515829,-1.544332384389746
21298,1.2400555871489878,-1.5237734756802985
21599,1.2377897728431229,-1.5373889724997487
21899,1.2673308194479591,-1.5276730201663802
22198,1.2446907053198952,-1.5720409708750926
22499,1.1896231460915865,-1.4962310809094626
22798,1.0478449231723201,-1.4989069469480971
23099,1.127924629653402,-1.447569257803384
23398,1.099086173339567,-1.6006301465252908
23699,1.23397099804544,-1.5471662616483601
23998,1.0712922355997379,-1.5402317795763492
24299,1.343470446919395,-1.4511611929375143
24599,1.1594131931694536,-2.2342387764512717
24898,1.2697082354170297,-2.3555764354971434
25199,1.2225663324161848,-2.6100350698798764
25498,1.262912633024314,-2.638982274997383
25799,1.3104050908846936,-3.0439679501829655
26098,1.302096569641868,-3.9328479206520264
26399,1.3592950247478544,-3.4245117894768624
26698,1.2546689634089798,-2.963723256899418
26999,1.1274922386441468,-2.5699971284041956
27299,1.1288658616126872,-2.729022831535275
27598,1.2204044220586543,-2.2989652873834547
27899,1.2624643229721997,-3.044364601813686
28198,1.3027905487795137,-3.94863077714374
28499,1.4257036462446997,-4.877660897568763
28798,1.524431623759839,-7.830588597299849
29099,1.792786576007412,-5.777424752098017
29398,1.9098834771751432,-8.827502303259681
29699,1.9755202856485121,-8.486002391441682
29999,2.107484445489451,-8.136974259799295
30298,,
30599,2.1917658415553887,-9.50700424821001
30898,2.170599010371749,-9.182324462733533
31199,,
31498,1.9078527459189816,-9.253622286752906
31799,,
32098,1.5909205805579274,-8.752164720083199
32399,,
32699,1.3022300654345722,-4.956991982750514
32998,1.1344617411186624,-2.7717510116430133
33299,1.077086888778125,-2.478670371340829
33598,1.5638113145575663,-0.9393426691073083
33899,1.0725053478075297,-2.7096463575126224
