,rmse,skill
299,0.8202141646403226,-2.62888573900793
598,0.9371947117048703,-3.4360602004011183
899,0.9209681704778987,-3.903897689936821
1198,0.9991153143344594,-4.56353947104983
1499,1.0591451344548812,-4.351447284549982
1798,1.1455780739392165,-4.94897130998049
2099,5.214100679178308,-0.15328768601546083
2398,3.661383809870002,-0.28197723531608254
2699,2.5098889765553944,-0.3408440952521965
2999,1.3449383223116493,-6.407763127759287
3298,1.8979088153970258,-1.8930744320385662
3599,2.689553637297036,-0.8034699232915057
3898,1.533577038310787,-8.595450509005108
4199,4.257636309926122,-0.4833074437374647
4498,1.7140431809971675,-9.140238394552735
4799,1.659180943279377,-9.744035853754703
5098,,
5399,,
5699,,
5998,2.0785812033231803,-7.176233841922183
6299,1.8502232623033354,-8.941539615585471
6598,,
6899,,
7198,,
7499,,
7798,1.91090128982374,-9.501814997000245
8099,1.9070021619827802,-8.15519618540658
8399,1.8538798316922735,-9.61287015120638
8698,1.8313825675242004,-9.67584297036028
8999,,
9298,1.7589070372383206,-9.57990498944649
9599,1.5498000431296501,-6.903249301781657
9898,1.3583257473704293,-3.975653922861345
10199,1.1877224855341308,-3.0278101492489986
10498,1.10097743966716,-2.2336021179794177
10799,0.9016212081278197,-1.5567295299341604
11099,0.9179629262000911,-1.3910073111739574
11398,0.9273322653619586,-1.471848169787247
11699,1.0357141993093169,-1.4690910434775262
11998,1.0584899098108664,-1.555723494091112
12299,1.193806335574287,-1.5642474246320859
12598,1.2241279708142505,-1.497729975611207
12899,1.4126641523473247,-1.5063624480733284
13198,1.3423361296712746,-1.4701363429780847
13499,2.20313000480309,-1.315709027606891
13799,1.7360409015435847,-1.3767763376165347
14098,1.5217552061764124,-1.3965079578749053
14399,1.8022202624036154,-1.346480237685801
14698,1.806537098501212,-1.3340633112189657
14999,2.0833322913275927,-1.2777536975954358
15298,2.525343345258392,-1.1899411138226341
15599,2.4846004120924947,-1.2985104715209634
15898,2.5503379628220144,-1.2945986267254899
16199,2.288282446677891,-1.2598980507397308
16499,2.539936765115279,-1.216869337330329
16798,2.489852265988356,-1.142980528516771
17099,2.5351942016817706,-1.3192280811822892
17398,2.4330773097289384,-1.2072383663547854
17699,2.28837009817231,-1.1739634974818407
17998,2.2886197918833755,-1.2105723116387104
